Age,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,,
.18 years and over,"127,155",410,761,"1,575","1,800","1,746","2,056","4,923","35,010","24,247","5,399","8,278","26,145","11,680","1,426","1,700",,,
..18 to 24 years,"14,559",29,24,27,59,120,271,"1,536","3,794","5,721",364,654,"1,788",137,19,16,,,
.25 years and over,"112,597",380,737,"1,548","1,740","1,626","1,785","3,388","31,216","18,525","5,035","7,624","24,357","11,543","1,407","1,685",,,
..25 to 29 years,"11,335",5,29,37,82,110,161,323,"2,678","2,126",492,832,"3,264",969,110,116,,,
..30 to 34 years,"10,795",22,28,94,129,157,110,261,"2,359","1,860",481,734,"2,864","1,294",167,235,,,
..35 to 39 years,"10,492",33,35,122,118,199,140,297,"2,213","1,645",447,735,"2,650","1,503",162,192,,,
..40 to 44 years,"9,819",28,43,152,145,156,128,249,"2,137","1,444",467,696,"2,487","1,315",171,200,,,
..45 to 49 years,"10,543",25,56,167,135,161,117,293,"2,646","1,587",498,797,"2,456","1,233",182,189,,,
..50 to 54 years,"10,915",36,57,142,117,148,161,298,"3,075","1,788",565,927,"2,251","1,058",121,170,,,
..55 to 59 years,"11,250",41,75,146,126,133,162,333,"3,477","1,859",536,874,"2,231",971,148,137,,,
..60 to 64 years,"10,334",25,80,163,167,112,160,292,"3,114","1,796",455,745,"1,954","1,003",126,140,,,
..65 to 69 years,"8,843",37,79,157,146,129,139,269,"2,719","1,550",405,500,"1,603",895,105,108,,,
..70 to 74 years,"6,702",31,83,114,130,88,145,226,"2,263","1,082",327,330,"1,128",641,36,79,,,
..75 years and over,"11,569",98,171,252,448,231,361,547,"4,533","1,788",361,455,"1,468",660,79,117,,,
